1	227110	227110	90	88			88	90	90			90																	36
3	227111	227111	60	2			14	60	1			13																	5
4	227112	227112	90	88			88	90	75			78																	33
5	227113	227113	90	88			88	90	99			97																	37
6	227114	227114	1	1			1	1	1			1
7	227115	227115	60	88			82	1	65			52																	27
8	227116	227116	1	1			1	1	1			1
9	227117	227117	90	88			88	90	75			78																	33
10	227118	227118	90	88			88	90	75			78																	33
11	227119	227119	90	88			88	90	75			78																	33
12	227120	227120	1	88			71	90	75			78																	30
13	227121	227121	1	88			71	90	75			78																	30
14	227122	227122	60	88			82	1	65			52																	27
15	227123	227123	60	88			82	70	65			66																	30
16	227124	227124	90	88			88	90	99			97																	37
17	227125	227125	90	99			97	60	99			91																	38
18	227126	227126	90	88			88	60	85			80																	34
19	227127	227127	90	88			88	90	99			97																	37
20	227128	227128	90	88			88	90	85			86																	35
21	227129	227129	90	88			88	60	65			64																	30
22	227230	227230	90	88			88	1	65			52																	28
23	227231	227231	90	1			19	1	65			52																	14
24	227232	227232	1	88			71	90	99			97																	34
25	227233	227233	90	1			19	90	65			70																	18
26	227234	227234	1	88			71	60	65			64																	27
2	227132	227132	90	1			19	1	65			52																	14
